# Airport database: IATA|ICAO|LAT|LON|CITY|NAME
# Source: OurAirports (public domain), scheduled-service
# large+medium airports. Add your own as extra lines.
DUR|FALE|-29.6144|31.1197|Durban|King Shaka International Airport
DUS|EDDL|51.2895|6.7668|Dusseldorf|Dusseldorf Airport
DUT|PADU|53.8988|-166.545|Unalaska|Tom Madsen (Dutch Harbor) Airport
DVL|KDVL|48.1155|-98.9088|Devils Lake|Devils Lake Regional Airport
DVO|RPMD|7.1255|125.646|Davao|Francisco Bangoy International Airport
DWC|OMDW|24.8962|55.1624|Dubai(Jebel Ali)|Al Maktoum International Airport
DWD|OEDM|24.4499|44.1212|Dawadmi|Dawadmi Domestic Airport
DXB|OMDB|25.2498|55.371|Dubai|Dubai International Airport
DXN|VIND|28.1799|77.6118|Gautam Buddha Nagar|Noida International Airport
DYG|ZGDY|29.1047|110.4428|Zhangjiajie (Yongding)|Zhangjiajie Hehua International Airport
DYR|UHMA|64.7349|177.741|Anadyr|Ugolny Yuri Ryktheu Airport
DYU|UTDD|38.5437|68.823|Dushanbe|Dushanbe International Airport
DZA|FMCZ|-12.8093|45.2818|Dzaoudzi|Dzaoudzi Pamandzi International Airport
DZH|ZUDA|31.0488|107.4356|Dazhou (Dachuan)|Dazhou Jinya Airport
DZN|UAKD|47.709|67.7381|Zhezkazgan|Zhezkazgan National Airport
EAM|OENG|17.6114|44.4192|Najran|Najran Domestic Airport
EAR|KEAR|40.727|-99.0068|Kearney|Kearney Regional Airport
EAS|LESO|43.3565|-1.7906|Hondarribia|San Sebastian Airport
EAT|KEAT|47.3989|-120.207|Wenatchee|Pangborn Memorial Airport
EAU|KEAU|44.8658|-91.4843|Eau Claire|Chippewa Valley Regional Airport
EBA|LIRJ|42.7609|10.2398|Campo nell'Elba (LI)|Marina di Campo Airport
EBB|HUEN|0.0424|32.4435|Entebbe|Entebbe International Airport
EBD|HSOB|13.1532|30.2327|El-Obeid|El-Obeid Airport
EBJ|EKEB|55.5259|8.5534|Esbjerg|Esbjerg Airport
EBL|ORER|36.236|43.9466|Arbil|Erbil International Airport
ECN|LCEN|35.1531|33.5074|Tymbou (Kirklar)|Ercan International Airport
ECP|KECP|30.3571|-85.7954|Panama City Beach|Northwest Florida Beaches International Airport
EDI|EGPH|55.9501|-3.3723|Ingliston, Edinburgh|Edinburgh Airport
EDL|HKEL|0.4045|35.2389|Eldoret|Eldoret International Airport
EDO|LTFD|39.5525|27.0102|Edremit|Balkesir Koca Seyit Airport
EFL|LGKF|38.1201|20.5005|Kefallinia Island|Kefallinia Airport
EGC|LFBE|44.8253|0.5186|Bergerac|Bergerac Dordogne-Perigord airport
EGE|KEGE|39.6426|-106.918|Eagle|Eagle County Regional Airport
EGO|UUOB|50.6438|36.5901|Belgorod|Belgorod International Airport
EGS|BIEG|65.2833|-14.4014|Egilsstair|Egilsstair Airport
EGX|PAII|58.1844|-157.3749|Egegik|Egegik Airport
EHU|ZHEC|30.3412|115.0393|Ezhou|Ezhou Huahu International Airport
EIE|UNII|58.4742|92.1125|Yeniseysk|Yeniseysk Airport
EIN|EHEH|51.4501|5.3745|Eindhoven|Eindhoven Airport
EIS|TUPJ|18.4455|-64.5417|Beef Island|Terrance B. Lettsome International Airport
EJA|SKEJ|7.0243|-73.8068|Barrancabermeja|Yariguies Airport
EJH|OEWJ|26.1986|36.4764|Al Wajh|Al Wajh Domestic Airport
EKO|KEKO|40.8249|-115.792|Elko|Elko Regional Airport
ELC|YELD|-12.0194|135.571|Elcho Island|Elcho Island Airport
ELD|KELD|33.221|-92.8133|El Dorado|South Arkansas Regional Airport at Goodwin Field
ELF|HSFS|13.6149|25.3246|El Fasher|El Fasher Airport
ELG|DAUE|30.5807|2.8616|El Menia|El Golea Airport
ELH|MYEH|25.4758|-76.6808|North Eleuthera|North Eleuthera Airport
ELM|KELM|42.1599|-76.8916|Elmira/Corning|Elmira Corning Regional Airport
ELP|KELP|31.8099|-106.3756|El Paso|El Paso International Airport
ELQ|OEGS|26.3028|43.7744|Qassim|Prince Naif bin Abdulaziz International Airport
ELS|FAEL|-33.0356|27.8259|East London|King Phalo Airport
ELU|DAUO|33.5114|6.7768|Guemar|Guemar Airport -
EMA|EGNX|52.8311|-1.3281|Nottingham, Leicestershire|East Midlands Airport
EMD|YEML|-23.5675|148.179|Emerald|Emerald Airport
EMK|PAEM|62.7861|-164.491|Emmonak|Emmonak Airport
ENA|PAEN|60.5709|-151.2452|Kenai|Kenai Municipal Airport
ENF|EFET|68.3626|23.4243|Enontekio|Enontekio Airport
ENH|ZHES|30.3203|109.485|Enshi (Enshi)|Enshi Xujiaping Airport
ENO|SGEN|-27.2275|-55.8376|Encarnacion|Teniente Ramon A. Ayub Gonzalez International Airport
ENU|DNEN|6.4737|7.5605|Enegu|Akanu Ibiam International Airport
ENY|ZLYA|36.4794|109.4641|Yan'an (Baota)|Yan'an Nanniwan Airport
EOH|SKMD|6.2197|-75.5906|Medellin|Enrique Olaya Herrera Airport
EOI|EGED|59.1906|-2.7722|Eday|Eday Airport
EPR|YESP|-33.6844|121.823|Esperance|Esperance Airport
EPU|EEPU|58.419|24.4728|Parnu|Parnu Airport
EQS|SAVE|-42.908|-71.1395|Esquel|Esquel Brigadier Antonio Parodi International Airport
ERC|LTCD|39.7102|39.527|Erzincan|Erzincan Airport
ERF|EDDE|50.9783|10.9607|Erfurt|Erfurt-Weimar Airport
ERH|GMFK|31.9475|-4.3983|Errachidia|Moulay Ali Cherif Airport
ERI|KERI|42.0831|-80.1739|Erie|Erie International Tom Ridge Field
ERL|ZBER|43.4241|112.0911|Erenhot|Erenhot Saiwusu International Airport
ERS|FYWE|-22.6049|17.079|Windhoek|Eros Airport
ERZ|LTCE|39.9565|41.1702|Erzurum|Erzurum International Airport
ESB|LTAC|40.1281|32.9951|Ankara|Esenboga International Airport
ESC|KESC|45.7232|-87.0886|Escanaba|Delta County Airport
ESD|KORS|48.7082|-122.91|Eastsound|Orcas Island Airport
ESL|URWI|46.3739|44.3309|Elista|Elista Airport
ESM|SETN|0.9785|-79.6266|Tachina|Carlos Concha Torres International Airport
ESR|SCES|-26.3111|-69.7652|El Salvador|Ricardo Garcia Posada Airport
ESU|GMMI|31.3975|-9.6817|Essaouira|Essaouira-Mogador Airport
ETM|LLER|29.727|35.0141|Eilat|Ramon International Airport
ETR|SERO|-3.442|-79.997|Santa Rosa|Santa Rosa - Artillery Colonel Victor Larrea International Airport
ETZ|LFJL|48.9821|6.2513|Goin|Metz-Nancy-Lorraine Airport
EUG|KEUG|44.1246|-123.212|Eugene|Eugene Airport
EUN|GMML|27.1425|-13.2249|El Aaiun|Laayoune Hassan I International Airport
EUX|TNCE|17.4965|-62.9794|Oranjestad|F. D. Roosevelt Airport
EVE|ENEV|68.4913|16.6781|Evenes|Harstad/Narvik Airport
EVN|UDYZ|40.1489|44.3979|Yerevan|Zvartnots International Airport
EVV|KEVV|38.037|-87.5324|Evansville|Evansville Regional Airport
EWB|KEWB|41.6761|-70.9569|New Bedford|New Bedford Regional Airport
EWN|KEWN|35.073|-77.0429|New Bern|Coastal Carolina Regional Airport
EWR|KEWR|40.6894|-74.1705|Newark|Newark Liberty International Airport
EXT|EGTE|50.7343|-3.414|Exeter, Devon|Exeter International Airport
EYK|USHQ|63.6869|66.6986||Beloyarskiy Airport
EYP|SKYP|5.3191|-72.384|Yopal|El Alcaravan - Yopal Airport
EYW|KEYW|24.5561|-81.7596|Key West|Key West International Airport
EZE|SAEZ|-34.8222|-58.5358|Buenos Aires (Ezeiza)|Ezeiza International Airport - Ministro Pistarini
EZS|LTCA|38.598|39.2835|Elazg|Elazg Airport
FAE|EKVG|62.0633|-7.2758|Vagar|Vagar Airport
FAI|PAFA|64.8151|-147.856|Fairbanks|Fairbanks International Airport
FAO|LPFR|37.0159|-7.9709|Faro|Faro - Gago Coutinho International Airport
FAR|KFAR|46.9207|-96.8158|Fargo|Hector International Airport
FAT|KFAT|36.7758|-119.718|Fresno|Fresno Yosemite International Airport
FAV|NTGF|-16.0541|-145.657||Fakarava Airport
FAY|KFAY|34.9912|-78.8803|Fayetteville|Fayetteville Regional Airport - Grannis Field
FBM|FZQA|-11.5915|27.5308|Lubumbashi|Lubumbashi International Airport
FCA|KGPI|48.3105|-114.256|Kalispell|Glacier Park International Airport
FCN|ETMN|53.7677|8.6592|Wurster Nordseekuste|Sea-Airport Cuxhaven/Nordholz / Nordholz Naval Airbase
FCO|LIRF|41.8045|12.252|Rome|RomeFiumicino Leonardo da Vinci International Airport
FDF|TFFF|14.591|-61.0032|Fort-de-France|Martinique Aime Cesaire International Airport
FDH|EDNY|47.6713|9.5115|Friedrichshafen|Bodensee Airport Friedrichshafen
FDU|FZBO|-3.3113|17.3817|Bandundu|Bandundu Airport
FEG|UZFF|40.3588|71.745|Fergana|Fergana International Airport
FEN|SBFN|-3.8545|-32.423|Fernando de Noronha|Fernando de Noronha Airport
FEZ|GMFF|33.9273|-4.978|Saiss|Fes Saiss International Airport
FGU|NTGB|-15.82|-140.8881|Fangatau|Fangatau Airport
FIH|FZAA|-4.3857|15.4446|Kinshasa|Ndjili International Airport
FIZ|YFTZ|-18.1836|125.5598||Fitzroy Crossing Airport
FJR|OMFJ|25.1084|56.3281|Fujairah|Fujairah International Airport
FKB|EDSB|48.7794|8.0805|Rheinmunster|Karlsruhe Baden-Baden Airport
FKI|FZIC|0.4816|25.338|Kisangani|Bangoka International Airport
FKQ|WASF|-2.9205|132.267|Fakfak|Fakfak Airport
FKS|RJSF|37.2274|140.431|Sukagawa|Fukushima Airport
FLA|SKFL|1.5892|-75.5644|Florencia|Gustavo Artunduaga Paredes Airport
FLG|KFLG|35.1398|-111.6698|Flagstaff|Flagstaff Pulliam Airport
FLL|KFLL|26.0726|-80.1527|Fort Lauderdale|Fort Lauderdale Hollywood International Airport
FLN|SBFL|-27.6703|-48.5525|Florianopolis|Hercilio Luz International Airport
FLO|KFLO|34.1854|-79.7239|Florence|Florence Regional Airport
FLR|LIRQ|43.8086|11.2028|Firenze (FI)|Florence Airport, Peretola
FLW|LPFL|39.4553|-31.1314|Santa Cruz das Flores|Flores Airport
FLZ|WIMS|1.5571|98.8871|Sibolga (Pinangsori)|Dr. Ferdinand Lumban Tobing Airport
FMA|SARF|-26.2127|-58.2281|Formosa|Formosa National Airport
FMI|FZRF|-5.8756|29.25|Kalemie|Kalemie Airport
FMM|EDJA|47.9881|10.2382|Memmingen|Memmingen Allgau Airport
FMO|EDDG|52.1338|7.6885|Greven|Munster Osnabruck Airport
FNA|GFLL|8.6164|-13.1955|Freetown (Lungi-Town)|Lungi International Airport
FNC|LPMA|32.6978|-16.7746|Funchal|Cristiano Ronaldo International Airport
FNI|LFTW|43.7574|4.4164|Nimes/Garons|Nimes-Arles-Camargue Airport
FNJ|ZKPY|39.2241|125.67|Pyongyang|Pyongyang Sunan International Airport
FNT|KFNT|42.9693|-83.7434|Flint|Bishop International Airport
FOC|ZSFZ|25.9293|119.6725|Fuzhou (Changle)|Fuzhou Changle International Airport
FOD|KFOD|42.5526|-94.1912|Fort Dodge|Fort Dodge Regional Airport
FOG|LIBF|41.4336|15.5346|Foggia (FG)|Foggia Gino Lisa Airport
FON|MRAN|10.4693|-84.5791|La Fortuna|La Fortuna Arenal Airport
FOR|SBFZ|-3.7758|-38.5322|Fortaleza|Pinto Martins International Airport
FPO|MYGF|26.558|-78.6956|Freeport|Grand Bahama International Airport
FRA|EDDF|50.0267|8.5584|Frankfurt am Main|Frankfurt Main Airport
FRD|KFHR|48.5237|-123.0246|Friday Harbor|Friday Harbor Airport
FRL|LIPK|44.1948|12.0701|Forli (FC)|Forli-Luigi Ridolfi International Airport
FRO|ENFL|61.5836|5.0247|Flor|Flor Airport
FRS|MGMM|16.9137|-89.8661|San Benito|Mundo Maya International Airport
FRW|FBPM|-21.1592|27.4688|Francistown|Phillip Gaonwe Matante International Airport
FSC|LFKF|41.5018|9.0971|Figari|Figari Sud-Corse Airport
FSD|KFSD|43.5855|-96.7412|Sioux Falls|Sioux Falls Regional Airport
FSM|KFSM|35.3366|-94.3674|Fort Smith|Fort Smith Regional Airport
FSP|LFVP|46.7627|-56.175|Saint-Pierre|Saint-Pierre Pointe-Blanche Airport
FSZ|RJNS|34.795|138.191|Makinohara / Shimada|Mount Fuji Shizuoka Airport
FTE|SAWC|-50.2803|-72.0534|El Calafate|El Calafate - Commander Armando Tola International Airport
FTU|FMSD|-25.0381|46.9561|Tolanaro|Tolanaro Airport
FTW|KFTW|32.8199|-97.3608|Fort Worth|Fort Worth Meacham International Airport
FUE|GCFV|28.4527|-13.8638|El Matorral|Fuerteventura Airport
FUG|ZSFY|32.8822|115.7344|Yingzhou, Fuyang|Fuyang Xiguan Airport
FUJ|RJFE|32.6663|128.833|Goto|Fukue Airport
FUK|RJFF|33.5859|130.451|Fukuoka|Fukuoka Airport
FUN|NGFU|-8.5239|179.197|Funafuti|Funafuti International Airport
FUO|ZGFS|23.0825|113.0708|Foshan (Nanhai)|Foshan Shadi Airport
FWA|KFWA|40.9789|-85.1945|Fort Wayne|Fort Wayne International Airport
FYJ|ZYFY|48.1972|134.363|Fuyuan|Fuyuan Dongji Airport
FYN|ZWFY|46.8042|89.512|Fuyun|Fuyun Koktokay Airport
FYU|PFYU|66.5717|-145.25|Fort Yukon|Fort Yukon Airport
GAJ|RJSC|38.4119|140.371|Higashine|Yamagata Airport
GAL|PAGA|64.7362|-156.937|Galena|Edward G. Pitka Sr Airport
GAM|PAGM|63.7677|-171.7333|Gambell|Gambell Airport
GAN|VRMG|-0.693|73.1526|Gan|Gan International Airport
GAQ|GAGO|16.2485|-0.0054|Gao|Gao International Airport
GAU|VEGT|26.1067|91.5852|Guwahati|Lokpriya Gopinath Bordoloi International Airport
GAY|VEGY|24.7443|84.9512|Gaya|Gaya Airport
GBB|UBBQ|40.8086|47.7254|Gabala|Gabala International Airport
GBE|FBSK|-24.5552|25.9182|Gaborone|Sir Seretse Khama International Airport
GBJ|TFFM|15.8689|-61.2701|Grand-Bourg|Marie-Galante Airport
GCC|KGCC|44.3489|-105.539|Gillette|Northeast Wyoming Regional Airport
GCH|OIAH|30.3339|50.8338|Gachsaran|Gachsaran Airport
GCI|EGJB|49.435|-2.602|Saint Peter Port|Guernsey Airport
GCK|KGCK|37.9275|-100.724|Garden City|Garden City Regional Airport
GCM|MWCR|19.2928|-81.3577|George Town|Owen Roberts International Airport
GCN|KGCN|35.9524|-112.147|Grand Canyon - Tusayan|Grand Canyon National Park Airport
GDB|VAGD|21.5268|80.2903|Gondia|Gondia Airport
GDE|HAGO|5.9351|43.5786|Gode|Gode Airport
GDL|MMGL|20.5233|-103.3101|Guadalajara|Guadalajara International Airport
GDN|EPGD|54.3776|18.4662|Gdansk|Gdansk Lech Waesa Airport
GDQ|HAGN|12.5199|37.434|Azezo|Gondar Airport
GDT|MBGT|21.4445|-71.1423|Cockburn Town|JAGS McCartney International Airport
GDV|KGDV|47.1377|-104.8069|Glendive|Dawson Community Airport
GDX|UHMM|59.911|150.72|Magadan|Sokol Airport
GDZ|URKG|44.5821|38.0125|Gelendzhik|Gelendzhik Airport
GEA|NWWM|-22.2577|166.4728|Noumea|Noumea Magenta Airport
GEG|KGEG|47.6199|-117.534|Spokane|Spokane International Airport
GEL|SBNM|-28.2825|-54.1696|Santo Angelo|Santo Angelo Airport
GEM|FGMY|1.6764|11.0249|Mengomeyen|President Obiang Nguema International Airport
GEO|SYCJ|6.4985|-58.2541|Georgetown|Cheddi Jagan International Airport
GER|MUNG|21.8347|-82.7838|Nueva Gerona|Rafael Cabrera Airport
GES|RPMR|6.0572|125.0962|General Santos|General Santos International Airport
GET|YGEL|-28.7961|114.707|Moonyoonooka|Geraldton Airport
GEV|ESNG|67.1324|20.8146|Gallivare|Gallivare Airport
GFF|YGTH|-34.2508|146.067|Griffith|Griffith Airport
GFK|KGFK|47.9493|-97.1761|Grand Forks|Grand Forks International Airport
GGG|KGGG|32.384|-94.7115|Longview|East Texas Regional Airport
GGT|MYEF|23.5626|-75.878|Moss Town|Exuma International Airport
GGW|KGGW|48.2125|-106.615|Glasgow|Glasgow Valley County Airport Wokal Field
GHA|DAUG|32.3841|3.7941|El Atteuf|Noumerat - Moufdi Zakaria Airport
GHB|MYEM|25.2847|-76.331|Governor's Harbour|Governor's Harbour Airport
GHV|LRBV|45.7056|25.5229|Brasov (Ghimbav)|Brasov-Ghimbav International Airport
GIB|LXGB|36.1517|-5.3498|Gibraltar|Gibraltar Airport
GID|HBBE|-3.4172|29.9113|Gitega|Gitega Airport
GIG|SBGL|-22.81|-43.2506|Rio De Janeiro|Rio Galeao  Tom Jobim International Airport
GIL|OPGT|35.9188|74.3336|Gilgit|Gilgit Airport
GIS|NZGS|-38.6633|177.978|Gisborne|Gisborne Airport
GIZ|OEGN|16.9011|42.5858|Jizan|Jizan Regional Airport / King Abdullah bin Abdulaziz Airport
GJA|MHNJ|16.4454|-85.9066|Guanaja|La Laguna Airport
GJL|DAAV|36.7941|5.8737|Tahir|Jijel Ferhat Abbas Airport
GJT|KGJT|39.1267|-108.5294|Grand Junction|Grand Junction Regional Airport
GKA|AYGA|-6.0817|145.392|Goronka|Goroka Airport
GKN|PAGK|62.1559|-145.4547|Gulkana|Gulkana Airport
GLA|EGPF|55.8719|-4.4331|Glasgow|Glasgow Airport
GLF|MRGF|8.654|-83.1822|Golfito|Golfito Airport
GLH|KGLH|33.4829|-90.9856|Greenville|Mid Delta Regional Airport
GLT|YGLA|-23.8698|151.2254|Gladstone|Gladstone Airport
GMA|FZFK|3.2354|19.7713|Gemena|Gemena Airport
GMB|HAGM|8.1288|34.5631|Gambela|Gambela Airport
GME|UMGG|52.527|31.0167|Gomel|Gomel Airport
GMO|DNGO|10.2989|10.9|Gombe|Gombe Lawanti International Airport
GMP|RKSS|37.5583|126.791|Seoul|Seoul Gimpo International Airport
GMQ|ZLGL|34.4181|100.3011|Golog (Maqen)|Golog Maqen Airport
GMR|NTGJ|-23.0799|-134.89||Totegegie Airport
GNB|LFLS|45.3629|5.3294|Grenoble|Grenoble Alpes Isere Airport
GND|TGPY|12.004|-61.7853|Saint George's|Maurice Bishop International Airport
GNJ|UBBG|40.7387|46.3204|Ganja|Ganja International Airport
GNS|WIMB|1.1663|97.7052|Gunungsitoli|Binaka Airport
GNV|KGNV|29.6901|-82.2718|Gainesville|Gainesville Regional Airport
GNY|LTCS|37.4457|38.8956|Sanlurfa|Sanlurfa GAP Airport
GOA|LIMJ|44.412|8.8407|Genova (GE)|Genoa Cristoforo Colombo Airport
GOH|BGGH|64.1911|-51.6791|Nuuk|Nuuk International Airport
GOI|VOGO|15.3801|73.8333|Vasco da Gama|Goa Dabolim International Airport
GOJ|UWGG|56.2274|43.7852|Nizhny Novgorod|Nizhny Novgorod / Strigino International Airport
GOM|FZNA|-1.6668|29.238|Goma|Goma International Airport
GOP|VEGK|26.7397|83.4497|Gorakhpur|Gorakhpur Airport
GOQ|ZLGM|36.4006|94.7861|Golmud|Golmud Airport
GOT|ESGG|57.6628|12.2798|Goteborg|Goteborg Landvetter Airport
GOU|FKKR|9.3348|13.3721|Garoua|Garoua International Airport
GOV|YPGV|-12.2694|136.818|Nhulunbuy|Gove Airport
GOX|VOGA|15.7443|73.8606|Mopa|Manohar International Airport
GPA|LGRX|38.1511|21.4256|Patras|Patras Araxos Agamemnon Airport
GPI|SKGP|2.5701|-77.898|Guapi|Guapi Airport
GPS|SEGS|-0.4538|-90.2659|Isla Baltra|Seymour Galapagos Ecological Airport
GPT|KGPT|30.4056|-89.0698|Gulfport|Gulfport Biloxi International Airport
GRB|KGRB|44.4835|-88.1308|Green Bay|Austin Straubel International Airport
GRI|KGRI|40.9675|-98.3096|Grand Island|Central Nebraska Regional Airport
GRJ|FAGG|-34.0056|22.3789|George|George Airport
GRK|KGRK|31.0672|-97.8289|Fort Cavazos|Killeen Regional Airport / Robert Gray Army Airfield
GRO|LEGE|41.9046|2.7618|Girona|Girona-Costa Brava Airport
GRQ|EHGG|53.1191|6.5777|Groningen|Groningen Airport Eelde
GRR|KGRR|42.8808|-85.5228|Grand Rapids|Gerald R. Ford International Airport
GRU|SBGR|-23.4313|-46.47|Sao Paulo|Sao Paulo/GuarulhosGovernor Andre Franco Montoro International Airport
GRV|URMG|43.3881|45.6998|Grozny|Akhmat Kadyrov Grozny International Airport
GRW|LPGR|39.0922|-28.0298|Santa Cruz da Graciosa|Graciosa Airport
GRX|LEGR|37.1887|-3.7774|Granada|F.G.L. Airport Granada-Jaen Airport
GRY|BIGR|66.5458|-18.0173|Grimsey/Sandvik|Grimsey Airport
GRZ|LOWG|46.9911|15.4396|Feldkirchen bei Graz|Graz Airport
GSM|OIKQ|26.7546|55.9024|Qeshm(Dayrestan)|Qeshm International Airport
GSO|KGSO|36.0994|-79.9373|Greensboro|Piedmont Triad International Airport
GSP|KGSP|34.8957|-82.2189|Greenville/Greer/Spartanburg|Greenville-Spartanburg International Airport
GST|PAGS|58.4253|-135.707|Gustavus|Gustavus Airport
GSV|UWSG|51.7128|46.1711|Saratov|Gagarin International Airport
GTE|YGTE|-13.9724|136.4586|Groote Eylandt|Groote Eylandt Airport
GTF|KGTF|47.482|-111.371|Great Falls|Great Falls International Airport
GTR|KGTR|33.4503|-88.5914|Columbus/W Point/Starkville|Golden Triangle Regional Airport
GUA|MGGT|14.5829|-90.5275|Guatemala City|La Aurora International Airport
GUC|KGUC|38.5347|-106.9346|Gunnison|Gunnison Crested Butte Regional Airport
GUM|PGUM|13.485|144.7973|Hagatna|Antonio B. Won Pat International Airport
GUP|KGUP|35.5117|-108.7882|Gallup|Gallup Municipal Airport
GUR|AYGN|-10.3115|150.334|Gurney|Gurney Airport
GUW|UATG|47.1213|51.8203|Atyrau|Atyrau International Airport
GVA|LSGG|46.2381|6.109|Geneva|Geneva International Airport
GVR|SBGV|-18.8959|-41.9829|Governador Valadares|Coronel Altino Machado Airport
GWD|OPGW|25.2967|62.4988|Gurandani|New Gwadar International Airport
GWL|VIGR|26.2933|78.2278|Gwalior|Gwalior Airport
GWT|EDXW|54.9132|8.3405|Sylt|Westerland Sylt Airport
GXF|OYSY|15.9659|48.7881|Seiyun|Seiyun Hadhramaut International Airport
GXG|FNNG|-7.7545|15.2877|Negage|Negage Airport
GXH|ZLXH|34.819|102.6223|Gannan (Xiahe)|Gannan Xiahe Airport
GYA|SLGM|-10.8886|-65.381|Guayaramerin|Guayaramerin Airport
GYD|UBBB|40.4728|50.0509|Baku|Heydar Aliyev International Airport
GYE|SEGU|-2.1574|-79.8836|Guayaquil|Jose Joaquin de Olmedo International Airport
GYM|MMGM|27.969|-110.925|Guaymas|General Jose Maria Yanez International Airport
GYN|SBGO|-16.632|-49.2207|Goiania|Santa Genoveva International Airport
GYS|ZUGU|32.3903|105.6946|Guangyuan (Lizhou)|Guangyuan Panlong Airport
GYU|ZLGY|36.0789|106.2169|Guyuan (Yuanzhou)|Guyuan Liupanshan Airport
GYY|KGYY|41.6171|-87.4132|Gary|Gary/Chicago International Airport
GZP|LTFG|36.2988|32.297|Gazipasa|Gazipasa-Alanya Airport
GZT|LTAJ|36.9472|37.4787|Gaziantep|Gaziantep Oguzeli International Airport
HAC|RJTH|33.1148|139.7856|Hachijojima|Hachijojima Airport
HAD|ESMT|56.6911|12.8202|Halmstad|Halmstad Airport
HAH|FMCH|-11.5337|43.2719|Moroni|Prince Said Ibrahim International Airport
HAJ|EDDV|52.4611|9.6851|Hannover|Hannover Airport
HAK|ZJHK|19.9349|110.459|Haikou (Meilan)|Haikou Meilan International Airport
HAM|EDDH|53.6304|9.9882|Hamburg|Hamburg Helmut Schmidt Airport
HAN|VVNB|21.2212|105.807|Hanoi (Soc Son)|Noi Bai International Airport
HAQ|VRMH|6.7432|73.1671|Haa Dhaalu Atoll|Hanimaadhoo International Airport
HAS|OEHL|27.4379|41.6863|Hail|Hail International Airport
HAU|ENHD|59.3453|5.2084|Karmy|Haugesund Airport, Karmy
HAV|MUHA|22.9892|-82.4091|Havana|Jose Marti International Airport
HBA|YMHB|-42.837|147.513|Hobart (Cambridge)|Hobart International Airport
HBE|HEAX|30.9325|29.6964|Alexandria|Alexandria International Airport
HBX|VOHB|15.3611|75.0821|Hubballi|Hubballi Airport
HCJ|ZGHC|24.8043|107.7108|Hechi (Jinchengjiang)|Hechi Jinchengjiang Airport
HCR|PAHC|62.1883|-159.775|Holy Cross|Holy Cross Airport
HCZ|ZGCZ|25.7534|112.8454|Chenzhou|Chenzhou Beihu Airport
HDF|EDAH|53.8787|14.1523|Zirchow|Heringsdorf Airport
HDG|ZBHD|36.5248|114.4241|Handan|Handan Airport
HDM|OIHH|34.8664|48.5607|Hamadan|Hamadan Airport
HDN|KHDN|40.4812|-107.218|Hayden|Yampa Valley Airport
HDS|FAHS|-24.3619|31.0529|Hoedspruit|Eastgate Airport / Air Force Base Hoedspruit
HDY|VTSS|6.9332|100.393|Hat Yai|Hat Yai International Airport
HEA|OAHR|34.21|62.2283|Guzara|Herat - Khwaja Abdullah Ansari International Airport
HEH|VYHH|20.7471|96.792|Heho|Heho Airport
HEK|ZYHE|50.1716|127.3089|Heihe|Heihe Aihui Airport
HEL|EFHK|60.3184|24.9633|Helsinki (Vantaa)|Helsinki Vantaa Airport
HER|LGIR|35.3397|25.1803|Heraklion|Heraklion International Nikos Kazantzakis Airport
HET|ZBHH|40.8497|111.8246|Hohhot|Hohhot Baita International Airport
HFA|LLHA|32.8102|35.0437|Haifa|Uri Michaeli Haifa International Airport
HFE|ZSOF|31.9878|116.9769|Hefei|Hefei Xinqiao International Airport
HFN|BIHN|64.2956|-15.2272|Hofn|Hornafjorur Airport
HFT|ENHF|70.6797|23.6686|Hammerfest|Hammerfest Airport
HGA|HCMH|9.5141|44.0835|Hargeisa|Egal International Airport
HGH|ZSHC|30.2361|120.4289|Hangzhou|Hangzhou Xiaoshan International Airport
HGI|VEHO|26.9668|93.6388|Hollongi|Itanagar Donyi Polo Hollongi Airport
HGN|VTCH|19.3013|97.9758|Mae Hong Son|Mae Hong Son Airport
HGO|DIKO|9.3872|-5.5567|Korhogo|Korhogo Airport
HGR|KHGR|39.7088|-77.728|Hagerstown|Hagerstown Regional Richard A Henson Field
HGU|AYMH|-5.8282|144.2994|Mount Hagen|Mount Hagen Kagamuga Airport
HHH|KHXD|32.2244|-80.6975|Hilton Head Island|Hilton Head Airport
HHN|EDFH|49.9464|7.2617|Frankfurt am Main (Lautzenhausen)|Frankfurt-Hahn Airport
HHQ|VTPH|12.6362|99.9515|Hua Hin|Hua Hin Airport
HHR|KHHR|33.9228|-118.335|Hawthorne|Jack Northrop Field Hawthorne Municipal Airport
HIA|ZSSH|33.7927|119.1267|Huai'an|Huai'an Lianshui Airport
HIB|KHIB|47.3848|-92.8369|Hibbing|Range Regional Airport
HID|YHID|-10.5856|142.2928|Horn|Horn Island Airport
HII|KHII|34.5705|-114.3577|Lake Havasu City|Lake Havasu City Airport
HIJ|RJOA|34.4361|132.919|Hiroshima|Hiroshima Airport
HIN|RKPS|35.0886|128.0717|Sacheon|Sacheon Airport / Sacheon Air Base
HIR|AGGH|-9.428|160.055|Honiara|Honiara International Airport
HJJ|ZGCJ|27.4431|109.7047|Huaihua|Huaihua Zhijiang Airport
HJR|VEKO|24.8172|79.9186|Khajuraho|Khajuraho Airport
HKD|RJCH|41.77|140.822|Hakodate|Hakodate Airport
HKG|VHHH|22.3118|113.9149|Hong Kong|Hong Kong International Airport
HKK|NZHK|-42.7136|170.985||Hokitika Airfield
HKN|AYHK|-5.4638|150.4073|Kimbe|Hoskins Airport
HKT|VTSP|8.1133|98.3174|Phuket|Phuket International Airport
